imdb_id,cast,director,keywords,genres,production_companies
tt2273657,Jonah Hill|James Franco|Felicity Jones|Maria Dizzia|Ethan Suplee,Rupert Goold,journalist|murder-trial|prison-visit|discredited-reporter|investigative-journalism,Biography|Crime|Drama|History|Mystery,New Regency Productions|New Regency Productions|Plan B Entertainment|StudioCanal|Sin Sentido Films
tt3181776,Morgan Freeman|Olga Kurylenko|James Purefoy|Jenna Saras|Adam Marcus,Stephen S. Campanelli,diamond-theft|diamonds|hand-to-hand-combat|bomb|hiding-under-a-bed,Action|Crime|Thriller,Azari Media|Thaba Media
tt3278330,Salma Hayek|Vincent Cassel|Toby Jones|John C. Reilly|Shirley Henderson,Matteo Garrone,king|ogre|lesbian-kiss|death-of-a-king|cunnilingus,Drama|Fantasy|Horror,Archimede|Le Pacte|Rai Cinema|HanWay Films|New Sparta Films
tt3715320,Joaquin Phoenix|Emma Stone|Joe Stapleton|Nancy Carroll|Allison Gallerani,Woody Allen,teacher-student-affair|professor|russian-roulette|judge|murder,Comedy|Drama|Romance,Gravier Productions|Perdido Productions
tt3862750,Sanaa Lathan|Michael Ealy|Morris Chestnut|L. Scott Caldwell|Charles S. Dutton,David M. Rosenthal,hit-on-the-head-with-a-pot|beanbag-shell|hiding-under-a-bed-while-couple-has-sex|neighbor-murdered|key-in-fake-rock,Thriller,Rocklin/Faust|Screen Gems
tt2917388,Jim Sturgess|Sam Worthington|Ryan Kwanten|Anthony Hopkins|Mark van Eeuwen,Daniel Alfredson,beer|car-chase|man-wears-pajamas|phone-booth|embedded-advertising,Action|Crime|Drama|Thriller,Informant Media|Global Film Partners|Embankment Films|Informant Europe SPRL|European Film Company
tt3416744,Ron Livingston|Jason Segel|Anna Chlumsky|Jesse Eisenberg|Joan Cusack,James Ponsoldt,dog|reading-aloud-from-a-book|baptist-church|existentialism|gas-station,Biography|Drama,Modern Man Films|Anonymous Content|Kilburn Media
tt1810683,Jakob Salvati|Emily Watson|David Henrie|Michael Rapaport|Cary-Hiroyuki Tagawa,Alejandro Monteverde,faith|racial-discrimination|world-war-two|spirituality|father-son-relationship,Drama|History|War,Metanoia Films|Santa Fé Films
tt3704050,Christopher Plummer|Kim Roberts|Amanda Smith|Martin Landau|Sean Francis,Atom Egoyan,letter|dementia|learning-the-truth|loss-of-memory|revenge,Drama|Mystery|Thriller,Serendipity Point Films|Distant Horizon|Detalle Films|Egoli Tossell Pictures|Téléfilm Canada
tt3165630,Richard Gere|Dylan Baker|Cheryl Hines|Dakota Fanning|Theo James,Andrew Renzi,philadelphia-city-hall|philadelphia-art-museum|mercedes-benz|wristwatch|guilt,Drama,Audax Films|Big Shoes Media|Celerity Pictures|End Cue|Follow Through Productions
tt2322517,Garrett Hedlund|Louise Bourgoin|Cletus Young|Oscar Isaac|Tim Soergel,William Monahan,drifter|desert|stalking|mojave-desert-arizona|man-beaten,Drama|Thriller,Atlas Independent|Henceforth Pictures|Henceforth|MICA Entertainment
tt2271563,Esther Purves-Smith|Kiefer Sutherland|Donald Sutherland|Lex Cassar|Graeme Black,Jon Cassar,hired-gun|1870s|19th-century|wild-west|shootout,Action|Drama|Western,Minds Eye Entertainment|Panacea Entertainment|Moving Pictures Media|Rollercoaster Films|Vortex Words Pictures
tt2893490,Al Pacino|Holly Hunter|Harmony Korine|Chris Messina|Skylar Gasper,David Gordon Green,character-name-as-title|bank-clerk|father-son-relationship|swallowing-a-key|earthquake,Drama,Worldview Entertainment|Dreambridge Films|Muskat Filmed Properties|Rough House Pictures
tt2091478,Norman Reedus|Djimon Hounsou|Sandrine Holt|Michael Hogan|Steve Burgess,Christian Cantamessa,techno-thriller|post-apocalypse|stasis-pod,Drama|Sci-Fi|Thriller,Automatik Entertainment|Circle of Confusion|Oddfellows Entertainment|Skybound Entertainment|Stage 6 Films
tt4642044,Matthew Reese|Dolph Lundgren|Danielle C. Ryan|Chuck Liddell|Renny Grames,John Lyde,prison-riot|bank-heist|janitor|guard|russian-mob,Action,Mainstay Productions|Matthew Reese Films|VMI Worldwide
tt3661298,Salma Hayek|Adrien Brody|Shohreh Aghdashloo|Gabriella Wright|Alon Aboutboul,Wayne Blair,tehran-iran|year-1979|jewish|party|burning-an-american-flag,Thriller,Eclectic Pictures|Ambi Pictures|Crosscurrent Productions|G-BASE|Millennium Films
